beerId,name,pubId,beerCategory,beerStyle,alcool
180,Flemish Primitive Wild Ale (Spoon Whacker),432,-1,-1,9
181,Bock,39,7,90,5.5
182,Double India Pale Ale,810,3,26,8.6
183,Old Bawdy 2006,984,-1,-1,10
184,Extra Strong Vintage Ale,397,-1,-1,7.5
185,Certified Organic India Pale Ale,481,3,26,7
186,Certified Organic Porter,481,2,25,5.5
187,Certified Organic Extra Pale Ale,481,-1,-1,0
188,Certified Organic Amber Ale,481,3,33,4.8
189,Farm House Ale,706,-1,-1,6.7
190,Beer Town Brown,255,3,38,0
191,Tanners Jack,890,-1,-1,4.4
192,Mephistopheles Stout,62,3,42,16.03
193,N퀌�gne 퀏� Brown Ale,923,3,38,4.5
194,Vertical Epic 07.07.07,1204,-1,-1,8.4
195,Ringwood Brewery Old Thumper Extra Special Ale,1136,-1,-1,0
196,Export Ale,1136,3,26,5.1
197,Bourbon Barrel Porter,950,-1,-1,9.1
198,Old Guardian Barley Wine 2007,1204,-1,-1,11.26
199,White Christmas,892,-1,-1,6.5
200,Winter,175,-1,-1,10.5
201,Undercover Investigation Shut-Down Ale,765,3,26,9.28
202,Harvest Ale 2006,727,1,13,11.6
203,Classic Gueuze,202,5,70,0
204,Gueuze-Lambic,1315,5,70,6.5
205,Schwarzbier / Dunkel,484,7,86,4.9
206,Sawtooth Ale,779,3,26,0
207,Pole Star Pilsner,779,-1,-1,0
208,90 Shilling,935,1,7,5.3
209,Sunshine Wheat,905,11,116,4.8
210,Grand Cru,174,-1,-1,9.5
211,Der Weisse Bock,70,4,55,8.5
212,Stouterik / The Brussels Stout,176,-1,-1,0
213,Black Jack Porter,779,2,25,0
214,Lunar Ale,161,3,38,5.1
215,Denver Pale Ale / DPA,604,3,26,5.4
216,Grotten Flemish Ale,296,5,72,7.7
217,Grand Cru,1316,-1,-1,9
218,Summer Common,501,-1,-1,0
219,Golden Ale,1185,-1,-1,4.7
220,Ambree,174,-1,-1,9
221,Pater 6,296,5,60,6.7
222,Blanche de Namur,187,-1,-1,4.5
223,Skinny Dip,905,3,37,4.2
224,Blanche Double,174,-1,-1,6
225,Summer Bright Ale,236,-1,-1,0
226,Mothership Wit,905,-1,-1,4.8
227,Lia Fail Stone of Destiny Ale,696,-1,-1,4.7
228,Premium XB Bluebird Bitter,395,-1,-1,4.4
229,IPA,1056,3,31,5.5
230,Houblon,167,-1,-1,9
231,Double Pilsner,935,8,95,8.1
232,Creamy Dark,708,8,95,4.9
233,Premium Pils Edelherb,757,-1,-1,4.9
234,St퀌_venbr퀌_u Maibock,590,7,90,0
235,Jack of Spades Schwarzbier,590,7,86,3.9
236,Shiner Hefeweizen,1179,4,50,5.4
237,Sapporo Premium Beer,1154,8,95,0
238,Dark German Lager,501,-1,-1,0
239,Spring Heat Spiced Wheat,44,-1,-1,5.2
240,Gose,567,-1,-1,4.6
241,Pils,1176,-1,-1,5
242,New,1274,8,95,4.6
243,Eisenbahn Defumada,369,-1,-1,0
244,Eisenbahn Escura,369,7,86,0
245,Eisenbahn Dourada,369,-1,-1,0
246,Fallen Angel Sweet Stout,501,3,42,0
247,Hot Shot ESB,604,1,5,5
248,Porter,312,2,25,8
249,N퀌�gne 퀏� Imperial Stout,923,3,43,9
250,N퀌�gne 퀏� Porter,923,2,25,7
251,N퀌�gne 퀏� Pale Ale,923,3,26,6
252,Eccentric Belgian Wheat,501,-1,-1,0
253,Oatmeal Stout,1265,3,42,0
254,Amber Light,1265,8,95,0
255,New World Wheat,1265,8,95,0
256,Maibock,1265,7,90,0
257,Ironwood Dark,1265,3,38,0
258,Cascade Amber,1265,3,33,0
259,Alpine Gold,1265,-1,-1,0
260,Illuminator Doppelbock,624,7,90,6.8
261,Old Princeton Landing IPA,624,3,31,6.1
262,Paddle Out Stout,624,3,42,5.2
263,Pillar Point Pale Ale,624,3,26,4.6
264,Sandy Beach Blonde Hefeweizen,624,4,50,4.5
265,Mavericks Amber Ale,624,3,33,4.8
266,Harbor Light Ale,624,-1,-1,4.8
267,Leroy Barleywine,1126,-1,-1,0
268,Oatmeal Stout,1126,3,42,6
269,Amber,1126,3,33,5
270,Blur IPA,1126,3,31,0
271,Pelican Pale,1126,3,26,5
272,Brew Ribbon,1126,8,95,0
273,Casey Jones Imperial IPA,701,3,31,7.25
274,Fairfax Coffee Porter,701,-1,-1,5.5
275,Epiphany Ale,701,3,33,5.5
276,IPA,701,3,31,6
277,Chazz Cat Rye,701,8,95,4.5
278,Shining Star Pale Ale,701,3,26,5
279,Honey Bunny Blonde Ale,701,8,95,5.8
280,Kent Lake Kolsch,701,-1,-1,4
281,Old Blarney Barleywine,892,-1,-1,10
282,Irish Dry Stout,892,3,42,4.8
283,Kilt Lifter Scottish Ale,892,1,15,8
284,India Pale Ale,892,3,26,6.5
285,Blonde Bock,588,7,90,7
286,Schwarzbier,588,7,86,4.3
287,Czech Lager,588,-1,-1,0
288,Yule Tide,385,5,61,10
289,Pilsner,588,-1,-1,5.3
290,Warka Strong,308,8,95,7
291,Porter,1074,2,25,0
292,ESB,1074,-1,-1,0
293,Pale Ale,1074,3,26,0
294,Kristall Weizen,1074,8,95,0
295,ESB (Extra Special Blizzard),1163,-1,-1,6
296,Paint the Town Red,677,3,33,0
297,Golden Ale,677,-1,-1,0
298,Train Wreck IPA,1004,3,31,0
299,Zone 7 Porter,1004,2,25,3.8
300,Pleasanton Pale,1004,3,26,5.3
301,Island Wheat,1004,8,95,0
302,Hefeweizen,707,4,50,5.6
303,Red Ale,707,-1,-1,0
304,Penalty Shot Porter,707,2,25,5.8
305,India Pale Ale,707,3,26,7.5
306,Grid Iron Amber Ale,707,3,33,5.6
307,Boys of Summer Wheat,707,8,95,3.5
308,Pale Ale,523,3,26,0
309,Red Ale,523,3,33,0
310,Hefeweizen,523,8,95,0
311,Bitter,523,-1,-1,0
312,Double IPA,523,3,31,0
313,Tatonka Stout,133,3,43,8.5
314,P.M. Porter,133,2,25,6.4
315,Jeremiah Red,133,2,22,7.3
316,Piranha Pale Ale,133,3,26,5.7
317,Harvest Hefeweizen,133,4,50,4.9
318,Brewhouse Blonde,133,-1,-1,4.7
319,Nutty Brewnette,133,3,38,5.9
320,India Pale Ale (IPA),515,3,31,0
321,Belgian Tripel,515,-1,-1,0
322,Belgian Abbey,515,-1,-1,0
323,Stout,515,3,42,0
324,Pale Ale,515,3,26,0
325,Best Bitter,515,-1,-1,0
326,Hefe Weizen,515,4,50,0
327,Pilsner,515,-1,-1,0
328,K퀌_lsch,515,-1,-1,0
329,Harvest Ale 2005 (Whisky),727,-1,-1,11.5
330,Harvest Ale 2005 (Calvados),727,-1,-1,11.5
331,Harvest Ale 2005 (Sherry),727,-1,-1,11.5
332,Old Crustacean Barleywine 2006,1072,-1,-1,11.5
333,Avalanche Amber,236,3,33,5.4
334,Hefe Proper Ale,236,8,95,0
335,Levity Amber Ale,935,3,33,5.1
336,Easy Street Wheat,935,11,116,4.6
337,Boulevard Pale Ale,161,3,26,5.4
338,Bully! Porter,161,2,25,5.4
339,Bovine Belgian Winter Ale,795,-1,-1,0
340,XX Black Angus Stout,795,3,42,0
341,Blarney Stone Stout,795,3,42,0
342,Bison Brown Ale,795,3,38,0
343,Prairie Pale,795,3,26,0
344,Wildcat Wheat,795,8,95,0
345,Boulevard Dry Stout,161,3,42,4.9
346,Planet Porter / Boulder Porter,160,2,25,5.5
347,Amber,195,-1,-1,8
348,Blanche des Moines,187,-1,-1,4.5
349,Triple Moine,187,-1,-1,7.2
350,Arabier,272,5,65,9
351,Bos Keun,272,5,65,8.9
352,Grand Cru,175,-1,-1,10.5
353,Oerbier,272,-1,-1,7.5
354,Dulle Teve / Mad Bitch,272,-1,-1,10
355,Vuuve,278,-1,-1,0
356,Gouden Carolus Tripel,284,-1,-1,9
357,Gouden Carolus Ambrio 1471,284,-1,-1,8
358,Pauwel Kwak,269,-1,-1,8
359,Delirium No퀌�l,285,5,72,10
360,Rochefort 10,7,5,62,11.3
361,McChouffe,167,3,29,8.5
362,471 Double IPA,236,3,31,9.2
363,La Chouffe Golden Ale,167,5,65,8
364,Saison Voisin,184,-1,-1,5
365,Olde Expensive Ale,322,1,13,0
366,Quadrupel,110,-1,-1,10
367,Tripel,110,-1,-1,8
368,Dubbel,110,-1,-1,7
369,Old Growler,903,2,25,6.5
370,Urthel Vlaemse Bock,431,7,90,7.5
371,Watou Tripel,296,5,61,7.5
372,Matilda,586,-1,-1,7
373,Old Engine Oil Special Reserve (aged in malt whisky casks),638,-1,-1,8
374,Imperial Stout,935,3,42,7.1
375,EKU 28,757,7,90,11
376,Eisbock,757,7,90,9.2
377,Doppelbock Dunkel,1115,7,92,8.5
378,Special London Ale,1385,1,13,6.4
379,Oatmeal Stout,1385,3,42,5.2
380,Super,128,-1,-1,8
381,Wayan,128,-1,-1,5.6
382,GABF 25th Year Beer,160,1,5,0
383,Old Foghorn 2006,39,-1,-1,9.4
384,Grand Cru 2006,21,-1,-1,10
385,Cerveza Negra,363,3,42,6.5
386,Cerveza Diablo,363,8,95,7.5
387,Cerveza Roja,363,7,84,6
388,Buffalo Belgian Stout,300,-1,-1,9
389,Rader Ambr퀌�e,238,-1,-1,0
390,Rader Blonde,238,-1,-1,6.5
391,Toleration,626,-1,-1,4.4
392,English Ale,1185,3,26,0
393,Ripon Jewel Ale,425,3,26,5.8
394,XTra,200,-1,-1,4.5
395,Bam Bi퀌�re,723,5,74,4.5
396,Samichlaus Bier 2005,1115,7,90,14
397,Barleywine,609,3,35,10
398,Old Godfather,1177,-1,-1,10.2
399,Aventinus Weizen-Eisbock,1023,7,90,12
400,Aventinus Weizenstarkbier / Doppel Weizen Bock,1023,4,55,8.2
401,New Belgium Trippel Belgian Style Ale,905,5,61,8.5
402,Hennepin Farmhouse Ale,249,-1,-1,7.7
403,Abbey Belgian Style Ale,905,5,60,7
404,India Pale Ale,1142,3,26,6.8
405,Bigfoot 2006,1142,-1,-1,9.6
406,Iron Fist Pale Ale,1054,3,26,0
407,Demolition,586,8,95,8
408,Oro de Calabaza,723,5,65,8
409,La Roja,723,3,33,7.2
410,Brother Thelonious,919,-1,-1,9
411,Hop Trip Fresh Hop Pale Ale,441,3,26,5.5
412,Organic Belgian Ale,130,-1,-1,0
413,Nieuw Ligt Grand Cru 2006,1192,-1,-1,12
414,Hibernation Ale,604,1,13,8.1
415,Wee Heavy Winter Ale,623,1,15,0
416,2퉌� Below,905,1,5,6.6
417,Monkey Wrench Dark Ale,425,2,25,5.3
418,Old Legover,425,-1,-1,4.1
419,Hercules Double IPA,604,3,31,9.1
420,Fresh Hop Pale Ale,604,3,26,6.1
421,Twisted Thistle India Pale Ale,98,3,26,6.1
422,Espresso Stout,1315,-1,-1,0
423,Inversion IPA,441,3,31,6.8
424,India Pale Ale,844,3,26,7.5
425,London Porter,844,2,25,6.5
426,Hitachino Nest Celebration Ale 2006,742,-1,-1,9
427,Rubia,363,8,95,6
428,Session Premium Lager,562,8,95,5.1
429,Mocny BOSS / BOSS Beer,156,8,95,8.1
430,La Rossa,127,7,90,7.2
431,Blue Paddle Pilsener,905,7,77,4.8
432,Lager,367,8,95,4
433,Hell,70,-1,-1,4.9
434,Pilsner,70,-1,-1,4.9
435,Ungespundet Lager Hefetrub,70,-1,-1,5.2
436,Keller-Bier,1188,-1,-1,0
437,Imperial Porter,1264,2,25,0
438,Amber Ale,1264,3,33,0
439,La Folie,905,-1,-1,6
440,Abt 12,296,5,62,10
441,Nostradamus,195,-1,-1,9.5
442,Triple,175,-1,-1,9
443,Ultrabrune,168,-1,-1,10
444,P퀌�re No퀌�l,277,-1,-1,0
445,Bah Humbug,1375,1,13,6
446,Harvest Ale 2005 (Port),727,-1,-1,11.5
447,Harvest Ale 2005,727,1,13,11.5
448,Moonraker,727,-1,-1,7.5
449,Old Engine Oil,638,2,25,6
450,Pitchfork Rebellious Bitter,1043,-1,-1,4.3
451,Bitter and Twisted,638,-1,-1,3.8
452,India Pale Ale,1185,3,26,0
453,Old Slug Porter,1043,2,25,4.5
454,Golden Abbot Lager,744,-1,-1,0
455,Porter,744,2,25,7.1
456,M퀌_nchshof Kellerbr퀌_u,757,-1,-1,0
457,Nightmare,626,2,25,5
458,Ur-Weisse,205,4,50,0
459,Schlenkerla Helles Lagerbier,650,-1,-1,4.3
460,Ondineke Oilsjtersen Tripel,743,-1,-1,8.5
461,Ale Mary,1043,3,26,6
462,Jan de Lichte,743,-1,-1,7
463,Bigfoot 2000,1142,-1,-1,9.6
464,Rauchbier Lager,222,-1,-1,4.6
465,Bourbon Imperial Stout,14,-1,-1,0
466,Witbier,14,-1,-1,0
467,Bavarian Bock,14,7,90,0
468,Heater,14,3,33,0
469,Harvest Brown,14,3,38,0
470,Brout,14,-1,-1,0
471,Aecht Schlenkerla Rauchbier M퀌_rzen,650,-1,-1,0
472,Aecht Schlenkerla Rauchbier Weizen,650,8,95,0
473,Kapuziner Schwarz-Weizen,757,-1,-1,5.4
474,Christmas Bock,70,7,90,6
475,Prior 8,296,5,60,8
476,Old Man Ale,395,-1,-1,4.8
477,Criminally Bad Elf,1056,-1,-1,10.5
478,Very Bad Elf Special Reserve Ale,1056,-1,-1,7.5
479,Weisse,70,4,50,4.9
480,Kulmbacher Munchshof Schwarzbier,757,-1,-1,-1
481,St. Bernardus Tripel,296,5,61,8
482,Bi퀌�re Blanche,296,-1,-1,0
483,Wychcraft,1375,-1,-1,0
484,Double Bastard Ale,1204,3,26,10
485,Rochefort 6,7,3,29,7.5
486,Guldenberg,277,-1,-1,8.5
487,Westmalle Trappist Tripel,262,5,61,9.5
488,Fire in the Hole!,590,-1,-1,0
489,Cow Palace Scotch Ale,590,1,15,6.8
490,Toil & Trubbel Dubbel,590,-1,-1,8.1
491,Abtskelder Tripel,590,-1,-1,8.4
492,All-American Gold,590,-1,-1,0
493,Curator Dunkler Doppelbock,511,7,90,9
494,Kloster Dunkel,511,-1,-1,0
495,Kloster Edel-Hell,511,-1,-1,0
496,Teton Ale,594,3,33,0
497,Pilsener,534,-1,-1,4.8
498,Nickelbier,230,7,90,6.5
499,Edel-Pils,216,-1,-1,4.8
500,Weiss-Gold,845,-1,-1,0
501,Zwickelbier,225,-1,-1,0
502,Pils,225,-1,-1,5
503,Spezial,225,-1,-1,5.1
504,Wei퀁�e,1120,4,50,0
505,Schwarzbier,1120,7,86,5.3
506,Pils,1120,-1,-1,4.9
507,Original N퉌_ 1 Naturtr퀌_b,1120,-1,-1,0
508,Schwarze,74,7,86,0
509,Blonde,74,-1,-1,0
510,Rotgold-Pils,74,8,95,4.9
511,Spezial,30,-1,-1,5.2
512,Pils,30,-1,-1,4.9
513,Coronator Helle Doppelbock,204,7,90,7.5
514,See-Weizen Bio-Hefeweizen,204,4,50,0
515,Kellerpils,204,-1,-1,0
516,Pils,204,-1,-1,0
517,Kronenbier,204,-1,-1,0
518,Dunkles Weissbier,1146,-1,-1,0
519,Festbier,1146,7,84,0
520,Dunkles Lager,1146,-1,-1,0
521,Weizen,1146,4,50,0
522,Br퀌_ustatt Pils,1146,-1,-1,0
523,Br퀌_ustatt Gold,1146,-1,-1,0
524,Altbairisch Dunkel,205,-1,-1,0
525,Pickled Santa,671,-1,-1,6
526,Manchester Star Ale,727,1,13,7.3
527,Moinette Brune,189,-1,-1,8.5
528,Chocolat,192,-1,-1,8
529,Bi퀌�re de No퀌�l,190,-1,-1,0
530,Bi퀌�re de Gamme,164,-1,-1,0
531,Panil Barriqu퀌�e,129,-1,-1,0
532,Cuv퀌�e du 7퀌�me,183,-1,-1,0
533,Dark White,192,-1,-1,0
534,Festive Ale 2006,501,-1,-1,0
535,Green Valley Stone Mill Pale Ale,44,3,26,5.5
536,Green Valley Wild Hop Lager,44,8,95,0
537,L퀌_wen Weisse,806,4,50,0
538,Herbstbier,1198,7,86,0
539,Altbier,1198,3,38,0
540,Huusbier,1198,-1,-1,0
541,Leermond Bier,217,-1,-1,0
542,Original Ittinger Klosterbr퀌_u,649,8,95,0
543,Huusbier Schwarz,233,2,25,4.5
544,Oktoberfest,233,4,55,0
545,Weizentrumpf,233,4,50,5.5
546,Honey Brown Ale,233,8,95,6
547,Huusbier Hell,233,-1,-1,4.6
548,K퀌_nig Ludwig Weissbier Dunkel,748,-1,-1,0
549,Gambrinus,877,-1,-1,4.6
550,Naturtr퀌_bes Kellerbier,877,7,90,0
551,Stout,1116,3,42,5
552,Weizen,1116,4,50,5
553,Spezial,1116,-1,-1,5.5
554,Naturtrubes,1116,-1,-1,5.1
555,St. Galler Landbier,219,-1,-1,0
556,Maisbier,569,-1,-1,0
557,Weizenbier,569,4,50,0
558,Dunkel,569,-1,-1,0
559,Hell,569,-1,-1,0
560,Spezial,877,-1,-1,5.6
561,Single-Malt-Bier,1344,8,95,0
562,Ur-Pils,1344,-1,-1,5.1
563,Ur-Weizen,1344,4,50,5
564,Hanf,1344,-1,-1,5
565,Dunkel,1344,-1,-1,4.8
566,Hell,1344,-1,-1,4.8
567,Blond,1344,-1,-1,4.8
568,Dunkle Weisse,213,-1,-1,5.3
569,WalderBr퀌_u Export,750,-1,-1,0
570,Hefe-Weizen,216,4,50,5.2
571,Edel-Spezial,216,-1,-1,5.2
572,Alt-D퀌_rrener-Wei퀁�e,479,-1,-1,0
573,Edelweiss,479,4,50,0
574,Kristall-Weizen,479,-1,-1,0
575,Hofgutsbier,479,-1,-1,0
576,Humpis-Original Naturtrub,479,-1,-1,5.1
577,Hefeweizen,568,4,50,0
578,Spezial,568,8,95,0
579,Kellerpils,568,-1,-1,0
580,Sanwald Dunkelweizen,451,-1,-1,0
581,Das Schwarze / Dark,451,-1,-1,4.9
582,Hecker Dunkel,1083,-1,-1,5.2
583,Kristall Weizen,1083,-1,-1,0
584,Hefe Weizen Dunkel,1083,-1,-1,0
585,Schimmele Hefe Pils,1083,-1,-1,0
586,Hefe Weizen Hell,1083,4,50,0
587,Spezial-Export,1083,-1,-1,0
588,Edel-Pils,1083,-1,-1,0
589,Herbstbeer,230,7,84,0
590,Weizen,230,4,50,0
591,Kupfer,230,8,95,0
592,Messing,230,-1,-1,0
593,Saison,905,-1,-1,0
594,Duinen Dubbel,285,-1,-1,8
595,Castelain St.Amand French Country Ale,165,-1,-1,5.9
596,Red Racer India Pale Ale,357,3,31,6.5
597,Steelhead Stout,357,3,42,0
598,Iceberg Copper Bock,357,7,90,0
599,Boomers Red Ale,357,-1,-1,0
600,Springboard Lager,357,8,95,0
601,Light Lager,119,8,95,0
602,Old Sullivan Porter,119,2,25,0
603,Brotherhood Black & Tan,119,3,38,0
604,Clover Pale Ale,119,3,26,0
605,Lager,119,8,95,0
606,Red Truck Ale,119,3,33,0
607,Dry Stout,120,3,42,0
608,Extra Special Bitter,120,-1,-1,0
609,Nut Brown Ale,120,3,38,0
610,Pale Ale,120,3,26,0
611,Vienna Lager,120,8,95,0
612,Pilsner,120,-1,-1,0
613,Blonde Ale,120,-1,-1,0
614,Cream Ale,1085,1,10,0
615,Blonde Ale,1085,-1,-1,0
616,Special Lager,1085,8,95,0
617,Pale Ale,1085,3,26,0
618,Pale Ale,1034,3,26,0
619,Beacon India Pale Ale,788,3,26,0
620,Traditional India Pale Ale,1237,3,26,0
621,Mad Scow Stout,1237,3,42,0
622,Red Truck Ale,1237,3,33,0
623,Two Lions Pale Ale,1237,3,26,0
624,Baden Powell Cream Ale,1237,8,95,0
625,Dominion Lager,1237,8,95,0
626,Yippee IPA,1381,3,31,0
627,Downtown Brown,1381,3,38,0
628,Tropical Lager,453,8,95,0
629,Honey Brown,453,8,95,0
630,IPA,453,3,31,0
